name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
TelephoneNumberFullID,niem-xs:string,string,,,,False,True,A complete telephone number.
TelephoneNumberID,niem-xs:string,string,,,,False,True,A telephone number.
TelephoneSuffixID,niem-xs:string,string,,,,False,True,An additional sequence of numbers to be entered after a call connects to be directed to the appropriate place.
TemperatureMeasure,nc:TemperatureMeasureType,TemperatureMeasureType,,,,False,True,A measure of a temperature.
TemperatureMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:TemperatureMeasureType
TemperatureUnitAbstract,,,,,,True,False,A data concept for a unit of measure for temperature.
TimeMeasure,nc:TimeMeasureType,TimeMeasureType,,,,False,True,A measure of an amount of time.
TimeMeasureAugmentationPoint,,,,,,True,False,An augmentation point for type nc:TimeMeasureType
TimeRangeAugmentationPoint,,,,,,True,False,An augmentation point for TimeRangeType.
TimeUnitAbstract,,,,,,True,False,A data concept for a unit of measure for amount of time.
TowingCompany,nc:OrganizationType,OrganizationType,,,,False,True,A company that tows a vehicle.
TransportationAssociation,nc:TransportationAssociationType,TransportationAssociationType,,,,False,True,An association between a conveyance and the people and/or goods it transported.
TransportationAssociationAugmentationPoint,,,,,,True,False,An augmentation point for TransportationAssociationType.
Treatment,nc:TreatmentType,TreatmentType,,,,False,True,A treatment of a person for a mental or physical condition.
TreatmentAugmentationPoint,,,,,,True,False,An augmentation point for nc:TreatmentType.
TreatmentProvider,nc:EntityType,EntityType,,,,False,True,An entity that provides a treatment.
TreatmentText,nc:TextType,TextType,,,,False,True,A treatment that was provided or could be provisioned.
UnsignedIntegerRangeAugmentationPoint,,,,,,True,False,An augmentation point for UnsignedIntegerRangeType.
URLID,niem-xs:anyURI,anyURI,,,,False,True,An identifier representing a universal resource locator (URL).
UserLogonID,niem-xs:string,string,,nc:SystemUserNameAbstract,SystemUserNameAbstract,False,True,An identifier for a system user in the form of a person's system access (logon) id.
UserPersonName,nc:PersonNameType,PersonNameType,,nc:SystemUserNameAbstract,SystemUserNameAbstract,False,True,"A person's actual name, used as an identifier for a system user."
UTMCoordinateValue,nc:UTMCoordinateType,UTMCoordinateType,,,,False,True,"A coordinate from the Universal Transverse Mercator (UTM) Coordinate System, which represents a location with a hemisphere, zone, an easting value, and a northing value."
Vehicle,nc:VehicleType,VehicleType,,,,False,True,"A conveyance designed to carry an operator, passengers and/or cargo, over land."
VehicleAugmentationPoint,,,,,,True,False,An augmentation point for VehicleType.
VehicleAxleQuantity,niem-xs:nonNegativeInteger,nonNegativeInteger,,,,False,True,"A count of common axles of rotation of one or more wheels of a vehicle, whether power driven or freely rotating."
VehicleCMVIndicator,niem-xs:boolean,boolean,,,,False,True,True if a vehicle is a commercial motor vehicle; false otherwise.
VehicleColorInteriorAbstract,,,,,,True,False,A data concept for a color of the interior of a vehicle.
VehicleColorInteriorText,nc:TextType,TextType,,nc:VehicleColorInteriorAbstract,VehicleColorInteriorAbstract,False,True,A color of the interior of a vehicle.
VehicleCurrentWeightMeasure,nc:WeightMeasureType,WeightMeasureType,,,,False,True,"An observed, estimated, or measured weight of the conveyance."
VehicleDoorQuantity,niem-xs:nonNegativeInteger,nonNegativeInteger,,,,False,True,A number of doors on a vehicle.
VehicleGarageLocationAssociation,nc:ItemLocationAssociationType,ItemLocationAssociationType,,,,False,True,An association between a vehicle and its garage location.
VehicleGrossLadenSumWeightMeasure,nc:WeightMeasureType,WeightMeasureType,,,,False,True,A sum of values specified by the manufacturer(s) for a truck tractor or trailer for the units that make up a combination.
VehicleGrossLadenUnitWeightMeasure,nc:WeightMeasureType,WeightMeasureType,,,,False,True,"A value specified by the manufacturer for a single unit truck, truck tractor, or trailer."
VehicleIdentification,nc:IdentificationType,IdentificationType,,,,False,True,A unique identification for a specific vehicle.
VehicleMakeAbstract,,,,,,True,False,A data concept for a manufacturer of a vehicle.
VehicleMaximumLoadWeightMeasure,nc:WeightMeasureType,WeightMeasureType,,,,False,True,"A maximum load weight intended for the vehicle to transport, assigned at the point of manufacture."
VehicleModelAbstract,,,,,,True,False,A data concept for a specific design or class of vehicle made by a manufacturer.
VehicleMSRPAmount,nc:AmountType,AmountType,,,,False,True,A manufacturer's suggested retail price of a vehicle; a price at which a manufacturer recommends a vehicle be sold.
