source,target,relation
ConveyanceType,ConveyanceFuelCategoryAbstract,hasElement
ConveyanceType,ConveyanceMotorizedIndicator,hasElement
ConveyanceType,ConveyanceTowedIndicator,hasElement
ConveyanceType,ConveyanceUseAbstract,hasElement
ConveyanceType,ConveyanceAugmentationPoint,hasElement
CountryType,ObjectType,extends
CountryType,CountryRepresentation,hasElement
CountryType,CountryAugmentationPoint,hasElement
CrisisType,ObjectType,extends
CrisisType,CrisisIdentification,hasElement
CrisisType,CrisisName,hasElement
CrisisType,CrisisLocation,hasElement
CrisisType,CrisisImage,hasElement
CrisisType,CrisisURLID,hasElement
CrisisType,CrisisDescriptionText,hasElement
CrisisType,CrisisStatus,hasElement
CrisisType,CrisisAugmentationPoint,hasElement
CrossStreetType,ObjectType,extends
CrossStreetType,CrossStreetDescriptionText,hasElement
CrossStreetType,CrossStreetRelativeLocation,hasElement
CrossStreetType,AddressStreet,hasElement
CrossStreetType,CrossStreetAugmentationPoint,hasElement
DateRangeType,ObjectType,extends
DateRangeType,StartDate,hasElement
DateRangeType,EndDate,hasElement
DateRangeType,DateRangeAugmentationPoint,hasElement
DateType,ObjectType,extends
DateType,DateRepresentation,hasElement
DateType,DateAccuracyAbstract,hasElement
DateType,DateMarginOfErrorDuration,hasElement
DateType,DateAugmentationPoint,hasElement
DayOfWeekCodeType,DayOfWeekCodeSimpleType,extends
DecalType,ObjectType,extends
DecalType,DecalID,hasElement
DecalType,DecalColorAbstract,hasElement
DecalType,DecalPeriodAbstract,hasElement
DecalType,DecalYearDate,hasElement
DecalType,DecalMonthDate,hasElement
DecalType,DecalAugmentationPoint,hasElement
DecimalListType,DecimalListSimpleType,extends
DecimalRangeType,ObjectType,extends
DecimalRangeType,RangeMinimumDecimalValue,hasElement
DecimalRangeType,RangeMaximumDecimalValue,hasElement
DecimalRangeType,DecimalRangeAugmentationPoint,hasElement
Degree180PlusMinusType,Degree180PlusMinusSimpleType,extends
Degree360Type,Degree360SimpleType,extends
Degree90PlusMinusType,Degree90PlusMinusSimpleType,extends
Degree90Type,Degree90SimpleType,extends
DepartureType,ObjectType,extends
DepartureType,DepartureDate,hasElement
DepartureType,DepartureEstimatedDate,hasElement
DepartureType,DepartureLocation,hasElement
DepartureType,DepartureAugmentationPoint,hasElement
DeviceInformationAssociationType,AssociationType,extends
DeviceInformationAssociationType,TelecommunicationDevice,hasElement
DeviceInformationAssociationType,DeviceUser,hasElement
DeviceInformationAssociationType,DeviceReceivedInformationAbstract,hasElement
DeviceInformationAssociationType,DeviceSentInformationAbstract,hasElement
DeviceInformationAssociationType,DeviceStoredInformationAbstract,hasElement
DeviceInformationAssociationType,DeviceVisitedInformationAbstract,hasElement
DeviceInformationAssociationType,Activity,hasElement
DeviceInformationAssociationType,DeviceInformationAssociationAugmentationPoint,hasElement
DeviceType,ItemType,extends
DeviceType,DeviceCategoryAbstract,hasElement
DeviceType,DeviceESNIdentification,hasElement
DeviceType,DeviceIMEIIdentification,hasElement
