name,base,baseLocal,childCount,children,documentation,kind
ItemDispositionType,nc:DispositionType,DispositionType,6,"[""ItemDispositionAbstract"", ""ItemDispositionLocation"", ""Item"", ""ItemHoldingOrganization"", ""ItemMovingOrganization"", ""ItemDispositionAugmentationPoint""]",A data type for a result or outcome that happens to a property item after it has been handled or processed.,complexContent-extension
ItemEntityAssociationType,nc:AssociationType,AssociationType,3,"[""Entity"", ""Item"", ""ItemEntityAssociationAugmentationPoint""]",A data type for an association between an item and an entity.,complexContent-extension
ItemInsuranceAssociationType,nc:AssociationType,AssociationType,5,"[""Insurance"", ""Item"", ""InsurancePolicyHolder"", ""RelatedActivity"", ""ItemInsuranceAssociationAugmentationPoint""]",A data type for an association between an item and its insurance.,complexContent-extension
ItemLocationAssociationType,nc:AssociationType,AssociationType,3,"[""Location"", ""Item"", ""ItemLocationAssociationAugmentationPoint""]",A data type for an association between a property and a location.,complexContent-extension
ItemTransactionType,nc:ActivityType,ActivityType,5,"[""ItemSeller"", ""ItemPurchasePriceValue"", ""ItemBuyer"", ""Item"", ""ItemTransactionAugmentationPoint""]",A data type for a transfer of ownership of an item.,complexContent-extension
ItemType,structures:ObjectType,ObjectType,46,"[""ItemActionText"", ""ItemAgeMeasure"", ""ItemBarCodeIdentification"", ""ItemBinary"", ""ItemBrandName"", ""ItemCategoryAbstract"", ""ItemColorDescriptionText"", ""ItemColorPrimaryAbstract"", ""ItemColorSecondaryAbstract"", ""ItemConditionAbstract"", ""ItemCurrentResaleValue"", ""ItemDealerIdentification"", ""ItemDescriptionText"", ""ItemDisposition"", ""ItemFirstSoldYearDate"", ""ItemHeightMeasure"", ""ItemImage"", ""ItemLeaseIndicator"", ""ItemLengthMeasure"", ""ItemMakeAbstract"", ""ItemModelName"", ""ItemModelYearDate"", ""ItemName"", ""ItemOtherIdentification"", ""ItemOwner"", ""ItemOwnerAppliedID"", ""ItemOwnerPurchasedValue"", ""ItemOwnershipCategoryAbstract"", ""ItemPossessionDescriptionText"", ""ItemPossessor"", ""ItemQuantity"", ""ItemReceiptIdentification"", ""ItemRentalIndicator"", ""ItemRFIdentification"", ""ItemSalesTaxPercent"", ""ItemSerialIdentification"", ""ItemSizeDescriptionText"", ""ItemStateIdentification"", ""ItemStatus"", ""ItemStyleAbstract"", ""ItemUsageText"", ""ItemValue"", ""ItemVisibleID"", ""ItemWeightMeasure"", ""ItemWidthMeasure"", ""ItemAugmentationPoint""]",A data type for an article or thing.,complexContent-extension
ItemValueType,structures:ObjectType,ObjectType,7,"[""ItemValueAmount"", ""ItemValueAssigningMethodAbstract"", ""ItemValueDate"", ""ItemValueDescriptionText"", ""ItemValueTaxIncludedIndicator"", ""ItemValueAssigner"", ""ItemValueAugmentationPoint""]",A data type for an evaluation of the monetary worth of an item.,complexContent-extension
JurisdictionType,structures:ObjectType,ObjectType,6,"[""JurisdictionAbstract"", ""JurisdictionDescriptionText"", ""JurisdictionIdentification"", ""JurisdictionLocation"", ""JurisdictionRestrictionText"", ""JurisdictionAugmentationPoint""]","A data type for a geopolitical area in which an organization, person, or object has a specific range of authority.",complexContent-extension
LanguageType,structures:ObjectType,ObjectType,2,"[""LanguageRepresentation"", ""LanguageAugmentationPoint""]",A data type for a language.,complexContent-extension
LatitudeCoordinateType,structures:ObjectType,ObjectType,4,"[""LatitudeDegreeValue"", ""LatitudeMinuteValue"", ""LatitudeSecondValue"", ""LatitudeCoordinateAugmentationPoint""]",A data type for a measurement of the angular distance between a point on the Earth and the Equator.,complexContent-extension
LatitudeDegreeType,nc:LatitudeDegreeSimpleType,LatitudeDegreeSimpleType,0,[],A data type for a degree of latitude.,simpleContent-wrapper
LengthMeasureType,nc:MeasureType,MeasureType,2,"[""LengthUnitAbstract"", ""LengthMeasureAugmentationPoint""]",A data type for a measure of a distance or extent.,complexContent-extension
LicenseEndorsementType,structures:ObjectType,ObjectType,3,"[""LicenseEndorsementEndDate"", ""LicenseEndorsementAbstract"", ""LicenseEndorsementAugmentationPoint""]",A data type for an endorsement on a license or license permit which authorizes specific privileges.,complexContent-extension
LicenseMedicalCertificationType,structures:ObjectType,ObjectType,14,"[""LicenseMedicalAssessmentCategoryAbstract"", ""LicenseMedicalAssessmentDescriptionText"", ""LicenseMedicalCertificationExpirationDate"", ""LicenseMedicalCertificationIssueDate"", ""LicenseSkillsPerformanceEvaluationEffectiveDate"", ""LicenseSkillsPerformanceEvaluationExpirationDate"", ""LicenseWaiverExemptEffectiveDate"", ""LicenseWaiverExemptExpirationDate"", ""LicenseWaiverExemptExpirationIndefiniteIndicator"", ""LicenseMedicalCertificationRestrictionAbstract"", ""LicenseMedicalCertificationStatusAbstract"", ""LicenseMedicalSelfCertificationAbstract"", ""LicenseMedicalLimitationText"", ""LicenseMedicalCertificationAugmentationPoint""]",A data type for a medical certification associated with a license.,complexContent-extension
LicensePermitType,nc:LicenseType,LicenseType,5,"[""LicensePermitClassificationText"", ""LicensePermitStatusAbstract"", ""LicensePermitRestriction"", ""LicensePermitEndorsement"", ""LicensePermitAugmentationPoint""]",A data type for a license permit issued to a person granting conditional or limited privileges.,complexContent-extension
LicenseRestrictionType,structures:ObjectType,ObjectType,4,"[""LicenseRestrictionAbstract"", ""LicenseRestrictionDescriptionText"", ""LicenseRestrictionEndDate"", ""LicenseRestrictionAugmentationPoint""]",A data type for a restriction applicable to a permit or license.,complexContent-extension
LicenseType,nc:IdentificationType,IdentificationType,9,"[""LicenseMedicalCertification"", ""LicenseRatingAbstract"", ""LicenseRatingEffectiveDate"", ""LicenseRatingExpirationDate"", ""LicensePermit"", ""LicensePermitQuantity"", ""LicenseRestriction"", ""LicenseEndorsement"", ""LicenseAugmentationPoint""]",A data type for an authorization issued to a person granting certain privileges.,complexContent-extension
LocaleType,structures:ObjectType,ObjectType,18,"[""LocaleCensusBlockID"", ""LocaleCensusTractID"", ""LocaleCommunityAbstract"", ""LocaleDescriptionText"", ""LocaleDistrictIdentification"", ""LocaleDistrictName"", ""LocaleEmergencyServicesName"", ""LocaleFireJurisdictionID"", ""LocaleJudicialDistrictAbstract"", ""LocaleNeighborhoodName"", ""LocalePoliceBeatText"", ""LocalePoliceGridText"", ""LocalePoliceJurisdictionID"", ""LocaleRegionName"", ""LocaleSubdivisionName"", ""LocaleZoneName"", ""LocaleEmergencyServicesJurisdictionID"", ""LocaleAugmentationPoint""]",A data type for a geopolitical area.,complexContent-extension
Location2DGeospatialCoordinateType,structures:ObjectType,ObjectType,4,"[""GeographicDatumAbstract"", ""GeographicCoordinateLatitude"", ""GeographicCoordinateLongitude"", ""Location2DGeospatialCoordinateAugmentationPoint""]",A data type for a location identified by latitude and longitude.,complexContent-extension
Location3DGeospatialCoordinateType,nc:Location2DGeospatialCoordinateType,Location2DGeospatialCoordinateType,2,"[""LocationHeightAbstract"", ""Location3DGeospatialCoordinateAugmentationPoint""]","A data type for a location identified by latitude, longitude, and height.",complexContent-extension
LocationContactInformationAssociationType,nc:AssociationType,AssociationType,3,"[""Location"", ""ContactInformation"", ""LocationContactInformationAssociationAugmentationPoint""]",A data type for an association between a location and contact information.,complexContent-extension
LocationHeightMeasureType,nc:LengthMeasureType,LengthMeasureType,2,"[""LocationHeightVerticalDatumAbstract"", ""LocationHeightMeasureAugmentationPoint""]",A data type for a measurement of the height of a location relative to a reference point.,complexContent-extension
LocationPartType,structures:ObjectType,ObjectType,8,"[""LocationBedText"", ""LocationBuildingText"", ""LocationPartText"", ""LocationRoomText"", ""LocationSectionText"", ""LocationSuiteText"", ""LocationFloorText"", ""LocationPartAugmentationPoint""]","A data type for a unit within a facility, building, or structure at a location.",complexContent-extension
LocationType,structures:ObjectType,ObjectType,18,"[""LocationAddressAbstract"", ""LocationArea"", ""LocationCategoryAbstract"", ""LocationContactInformation"", ""LocationDescriptionText"", ""LocationDirectionsText"", ""LocationGeospatialCoordinateAbstract"", ""LocationHeightAbstract"", ""LocationIdentification"", ""LocationLandmarkAbstract"", ""LocationLocale"", ""LocationMapLocation"", ""LocationName"", ""LocationPart"", ""LocationRangeDescriptionText"", ""LocationRelativeLocation"", ""LocationSurroundingAreaDescriptionText"", ""LocationAugmentationPoint""]",A data type for geospatial location.,complexContent-extension
LongitudeCoordinateType,structures:ObjectType,ObjectType,4,"[""LongitudeDegreeValue"", ""LongitudeMinuteValue"", ""LongitudeSecondValue"", ""LongitudeCoordinateAugmentationPoint""]",A data type for a measurement of the angular distance between a point on the Earth and the Prime Meridian.,complexContent-extension
LongitudeDegreeType,nc:LongitudeDegreeSimpleType,LongitudeDegreeSimpleType,0,[],A data type for a degree of longitude.,simpleContent-wrapper
ManifestType,nc:DocumentType,DocumentType,3,"[""ManifestCategoryAbstract"", ""ManifestTransmittedDate"", ""ManifestAugmentationPoint""]",A data type for the information about the persons and/or cargo transported on a conveyance trip.,complexContent-extension
MapLocationType,structures:ObjectType,ObjectType,11,"[""MapCoordinateFullText"", ""MapDate"", ""MapElevationCoordinateText"", ""MapHorizontalCoordinateText"", ""MapLocationDescriptionText"", ""MapName"", ""MapPageID"", ""MapQuadrantText"", ""MapVersionID"", ""MapVerticalCoordinateText"", ""MapLocationAugmentationPoint""]",A data type for a location identified by map or grid coordinates.,complexContent-extension
MeasureType,structures:ObjectType,ObjectType,10,"[""MeasureValueAbstract"", ""MeasureCommentText"", ""MeasureDate"", ""MeasureDescriptionText"", ""MeasureErrorAbstract"", ""Measurer"", ""MeasureUnitAbstract"", ""MeasureMethodAbstract"", ""MeasureEstimatedIndicator"", ""MeasureAugmentationPoint""]",A data type for a measurement.,complexContent-extension
MedicalConditionType,structures:ObjectType,ObjectType,8,"[""MedicalConditionDoctor"", ""MedicalConditionText"", ""MedicalConditionCauseText"", ""MedicalConditionDescriptionText"", ""MedicalConditionPresentIndicator"", ""MedicalConditionSeverityAbstract"", ""MedicalConditionDateRange"", ""MedicalConditionAugmentationPoint""]","A data type for a state of health, on-going or present.",complexContent-extension
MessageCategoryFATCACodeType,nc:MessageCategoryFATCACodeSimpleType,MessageCategoryFATCACodeSimpleType,0,[],A data type for kind of Foreign Account Tax Compliance Act (FATCA) message.,simpleContent-wrapper
MessageType,structures:ObjectType,ObjectType,14,"[""MessageID"", ""MessageRecipientAbstract"", ""MessageRecipientAddressID"", ""MessageReceivedDate"", ""MessageSenderAbstract"", ""MessageSenderAddressID"", ""MessageSentDate"", ""MessageSubjectText"", ""MessageText"", ""MessageAttachmentAbstract"", ""MessageCategoryAbstract"", ""MessageReferenceID"", ""MessageFATCAUsageRestrictionAbstract"", ""MessageAugmentationPoint""]",A data type for an electronic form of communication that can be exchanged asynchronously.,complexContent-extension
MetadataType,structures:ObjectType,ObjectType,28,"[""AdministrativeID"", ""CaveatText"", ""Comment"", ""ConfidencePercent"", ""CreatorName"", ""DescriptionText"", ""DistributionText"", ""EffectiveDate"", ""EmptyReasonAbstract"", ""EmptyReasonDescriptionText"", ""ExpirationDate"", ""Language"", ""LastUpdatedDate"", ""LastVerifiedDate"", ""ProbabilityPercent"", ""PublisherName"", ""QualityComment"", ""ReleaseDate"", ""ReportedDate"", ""ReportingOrganizationAbstract"", ""ReportingPersonRoleAbstract"", ""ReportingPersonAbstract"", ""RepositoryID"", ""SensitivityAbstract"", ""SourceContactPersonAbstract"", ""SourceIDText"", ""SourceText"", ""MetadataAugmentationPoint""]",A data type for information that further qualifies primary data; data about data.,complexContent-extension
