name,base,baseLocal,childCount,children,documentation,kind
MilitaryDischargeCategoryCodeType,nc:MilitaryDischargeCategoryCodeSimpleType,MilitaryDischargeCategoryCodeSimpleType,0,[],A data type for kinds of discharges a person may receive from military service.,simpleContent-wrapper
MilitarySummaryType,structures:ObjectType,ObjectType,20,"[""MilitaryBranchName"", ""MilitaryCountry"", ""MilitaryDischargeCategoryAbstract"", ""MilitaryDischargeDate"", ""MilitaryDischargeRankText"", ""MilitaryDisciplinaryAction"", ""MilitaryDutiesText"", ""MilitaryEnlistmentDate"", ""MilitaryExemptionDescriptionText"", ""MilitaryExperienceIndicator"", ""MilitaryHighRankText"", ""MilitaryInductionDate"", ""MilitaryPersonIdentification"", ""MilitaryReleaseCategoryAbstract"", ""MilitaryReleaseDate"", ""MilitaryServiceActiveIndicator"", ""MilitaryServiceTimeMeasure"", ""MilitaryStatus"", ""MilitaryWorkSkillText"", ""MilitarySummaryAugmentationPoint""]",A data type for a service of a person in a military.,complexContent-extension
MissionType,structures:ObjectType,ObjectType,6,"[""MissionName"", ""MissionCommencementNoEarlierThanDate"", ""MissionCommencementNoLaterThanDate"", ""ContactInformation"", ""MissionID"", ""MissionAugmentationPoint""]","A data type for a task, together with the purpose, that clearly indicates the action to be taken and the reason therefore.",complexContent-extension
NANPTelephoneNumberType,structures:ObjectType,ObjectType,5,"[""TelephoneAreaCodeID"", ""TelephoneExchangeID"", ""TelephoneLineID"", ""TelephoneSuffixID"", ""NANPTelephoneNumberAugmentationPoint""]",A data type for a North American Numbering Plan telephone number.,complexContent-extension
NonNegativeDecimalType,nc:NonNegativeDecimalSimpleType,NonNegativeDecimalSimpleType,0,[],A data type for a decimal value with a minimum value of 0.,simpleContent-wrapper
NonNegativeIntegerListType,nc:NonNegativeIntegerListSimpleType,NonNegativeIntegerListSimpleType,0,[],A data type for a white space-delimited list of nonnegative integers.,simpleContent-wrapper
NumericType,niem-xs:decimal,decimal,0,[],A data type for a number value.,simpleContent-wrapper
ObligationExemptionType,structures:ObjectType,ObjectType,3,"[""FinancialObligationExemptionAmount"", ""ObligationExemptionDescriptionText"", ""ObligationExemptionAugmentationPoint""]",A data type for a waiving or a dismissal of an obligation.,complexContent-extension
ObligationRecurrenceType,structures:ObjectType,ObjectType,3,"[""ObligationPeriodAbstract"", ""ObligationDateRange"", ""ObligationRecurrenceAugmentationPoint""]",A data type for a periodic basis on which an obligation must be met.,complexContent-extension
ObligationType,structures:ObjectType,ObjectType,17,"[""ObligationTotalAbstract"", ""ObligationDueAbstract"", ""ObligationPaidAbstract"", ""ObligationCompleteIndicator"", ""ObligationComplianceIndicator"", ""ObligationDueDate"", ""ObligationExemption"", ""ObligationExemptionIndicator"", ""ObligationPaidDate"", ""ObligationProgressDescriptionText"", ""ObligationRequirementDescriptionText"", ""ObligationCategoryAbstract"", ""ObligationEntity"", ""ObligationEntityCategoryAbstract"", ""ObligationRecipient"", ""ObligationRecurrence"", ""ObligationAugmentationPoint""]",A data type for something that is owed to an entity.,complexContent-extension
